City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
305,svetlyy,54.675,20.1347,12.03,93,99,6.57,RU,1712031621
306,ebeltoft,56.1944,10.6821,6.01,87,100,6.17,DK,1712031657
307,tazacorte,28.629,-17.9293,16.54,84,20,3.13,ES,1712031478
308,g'uzor,38.6214,66.2522,11.02,41,100,3.13,UZ,1712031659
309,telimele,10.9167,-13.3333,22.8,66,88,1.01,GN,1712031659
310,kharkhorin,47.1975,102.8238,3.21,31,100,1.27,MN,1712031660
311,kumagunnam,13.1551,10.6342,28.8,15,80,3.7,NG,1712031660
312,radzymin,52.4159,21.1841,13.93,77,100,6.66,PL,1712031662
313,hasaki,35.7333,140.8333,21.27,58,46,5.09,JP,1712031662
314,valdivia,-39.8142,-73.2459,11.05,77,100,0.6,CL,1712031663
315,saudarkrokur,65.7461,-19.6394,-3.72,75,69,8.69,IS,1712031664
316,otavalo,0.2333,-78.2667,14.12,96,100,1.5,EC,1712031376
317,happy valley-goose bay,53.3168,-60.3315,1.17,93,75,6.17,CA,1712031665
318,al jawf,29.5,38.75,18.29,47,28,3.96,SA,1712031665
319,sangueya,10.7,-14.3667,22.71,83,83,0.84,GN,1712031666
320,kolonia,50.9333,6.95,9.98,88,0,3.6,DE,1712031667
321,mitu,1.1983,-70.1733,23.13,98,100,0.25,CO,1712031667
322,jayanca,-6.3908,-79.8219,22.94,70,50,2.66,PE,1712031668
323,manokwari,-0.8667,134.0833,26.69,88,100,4.11,ID,1712031668
324,charef,34.621,2.795,6.9,46,0,1.51,DZ,1712031375
325,suva,-18.1416,178.4415,29.71,79,75,3.6,FJ,1712031430
326,taltal,-25.4,-70.4833,18.72,84,40,1.07,CL,1712031670
327,crane,31.3974,-102.3501,17.36,19,1,10.93,US,1712031671
328,timbuktu,16.7735,-3.0074,30.6,17,4,2.41,ML,1712031672
329,jalandhar,31.3256,75.5792,26.92,22,66,2.55,IN,1712031455
330,murehwa,-17.6432,31.784,13.92,83,97,1.14,ZW,1712031673
331,colares,38.7992,-9.4469,15.18,93,100,8.05,PT,1712031673
332,morehead city,34.7229,-76.726,18.01,89,0,3.6,US,1712031674
333,maqat,47.65,53.3167,11.3,50,68,2.86,KZ,1712031674
334,khandyga,62.6667,135.6,-7.98,85,100,1.1,RU,1712031675
335,rugaji,57.0,27.1333,11.3,87,100,2.17,LV,1712031676
336,palikir - national government center,6.9248,158.1611,31.47,79,100,6.17,FM,1712031676
337,khanty-mansiysk,61.0042,69.0019,0.06,69,75,2.0,RU,1712031677
338,carauari,-4.8828,-66.8958,23.24,99,100,0.96,BR,1712031678
339,sisimiut,66.9395,-53.6735,-4.65,78,87,3.74,GL,1712031679
340,prainha,-1.8,-53.48,23.95,94,88,1.08,BR,1712031680
341,pontes e lacerda,-15.2261,-59.3353,24.93,83,100,1.34,BR,1712031680
342,yichang,30.7144,111.2847,20.28,94,100,0.82,CN,1712031468
343,gobabis,-22.45,18.9667,17.71,81,69,3.41,NA,1712031681
344,stallings,35.0907,-80.6862,21.33,76,0,5.14,US,1712031682
345,durango,24.8333,-104.8333,14.1,43,0,9.73,MX,1712031480
346,jamestown,42.097,-79.2353,7.8,72,100,4.63,US,1712031665
347,nar'yan-mar,67.6713,53.087,-9.38,87,100,4.92,RU,1712031456
348,corn island,12.1694,-83.0418,27.44,71,7,5.54,NI,1712031684
349,banda aceh,5.5577,95.3222,30.81,65,16,1.12,ID,1712031685
350,motueka,-41.1333,173.0167,17.83,81,100,2.02,NZ,1712031686
351,isangel,-19.55,169.2667,30.06,74,75,1.03,VU,1712031686
352,ginir,7.1333,40.7,15.9,85,57,1.89,ET,1712031687
353,tosontsengel,48.7567,98.2839,-3.42,75,9,1.09,MN,1712031687
354,tateyama,34.9833,139.8667,15.03,62,96,2.44,JP,1712031688
355,lijiang,26.8688,100.2207,18.54,35,42,2.3,CN,1712031689
356,smithers,54.7804,-127.1743,5.18,87,100,3.6,CA,1712031689
357,konstantinovka,49.6167,127.9833,4.33,46,39,3.31,RU,1712031690
358,nairn,57.5809,-3.8797,7.08,93,100,6.17,GB,1712031691
359,elverum,60.8819,11.5623,-1.55,87,75,2.78,NO,1712031691
360,akune,32.0167,130.2,19.87,67,100,3.22,JP,1712031692
361,troitskoye,52.9821,84.6757,5.26,77,100,4.11,RU,1712031692
362,teshi old town,5.5836,-0.1072,29.31,84,0,3.09,GH,1712031693
363,alice springs,-23.7,133.8833,28.45,37,0,6.17,AU,1712031444
